what,description,name
Written contents,Outreach article,"[ITA] Yajima M. (2023). Vedo, non vedo: la plant awareness disparity. Lupo Trek. https://www.lupotrek.it/2023/01/31/vedo-non-vedo-la-plant-awareness-disparity/"
Written contents,Blog post,Yajima M. (2022). Hidden legacies: what do colonialism and natural sciences have to do with each other? EcoEvo@TCD. http://www.ecoevoblog.com/2022/08/24/hidden-legacies-what-do-colonialism-and-natural-sciences-have-to-do-with-each-other/
Written contents,Blog post,Yajima M. (2022). Data manipulation and statistical analysis in palaeoecology: an unexpected journey. Methods Blog. https://methodsblog.com/2021/07/26/data-manipulation-and-statistical-analysis-in-palaeoecology-an-unexpected-journey/
Written contents,Outreach article,[ITA] Yajima M. (2022). Dove Abbiamo lasciato le chiavi: il valore della paleoecologia. Lupo Trek. https://www.lupotrek.it/2022/02/04/dove-abbiamo-lasciato-le-chiavi/
Written contents,Outreach article,[ITA] Yajima M. (2022). Il mito della natura selvaggia. Lupo Trek. https://www.lupotrek.it/2022/04/07/il-mito-della-natura-selvaggia/
Written contents,Outreach article,[ITA] Yajima M. (2022). Eredità nascoste: cosa centarno scienze naturali e colonialismo? Lupo Trek. https://www.lupotrek.it/2022/05/20/eredita-nascoste-cosa-centrano-scienze-naturali-e-colonialismo/
Visual contents,Illustration,"Yajima M. (2023). Migrations (1), illustration for Lupo Trek's article, https://midoriscrafts.artstation.com/projects/WBK6bX"
Visual contents,Illustration,"Yajima M. (2023). Coral bleaching, illustration for Lupo Trek's article, https://midoriscrafts.artstation.com/projects/KON5By"
Visual contents,Illustration,"Yajima M. (2023). Plant awareness disparity, illustration for Lupo Trek's article, https://midoriscrafts.artstation.com/projects/KON5By"
Visual contents,Illustration,"Yajima M. (2023). Una foresta, illustration for Lupo Trek's article, https://midoriscrafts.artstation.com/projects/wJDbBO"
Visual contents,Illustration,"Yajima M. (2022). Tree diagram, illustration for the European Researchers' Night event at Trinity College Dublin, https://midoriscrafts.artstation.com/projects/KObyNx"
Visual contents,Illustration,"Yajima M. (2022). Environmental Education, logo for Lupo Trek's environmental education projects, https://www.artstation.com/artwork/Omenew"
Visual contents,Illustration,"Yajima M. (2021). Workshop, illustration for blog post. https://midoriscrafts.artstation.com/projects/R3vqLO"
Events,Culture Night at Trinity College Botanic Garden - September 2022,Supporting the organisation of the event
Events,European Researcher's Night - September 2022 ,Co-design and curation of the event 
Events,Trinity College Botanic Garden Open Day - 19th May 2022,Supporting the organisation of the event
